schadecontract_id,schade_id,contract_id,risico_id,blockretours_id,contract_bijvoegsel_id
13338603,113415447,33685345,,,
13341345,113418288,38175277,,,
13341393,113418348,33707499,,,
13341402,113418360,33685869,,,
13342160,113419301,33684817,,,
13342563,113419722,36967749,,,
13348500,113419724,38294166,,,
13343150,113420324,37145707,,,
13344098,113421344,38238819,,,
13344597,113421861,35855771,,,
13344759,113422038,36033000,,61015296,
13345152,113422491,38286939,,,
13345158,113422500,34773294,,,
13348739,113422685,36074426,,60849988,
13346850,113424255,33849002,,,
13348863,113426205,35647418,,,
13349429,113426825,38233622,,,
13349507,113426909,33685937,,,
13350744,113428173,35647496,,,
13351008,113428461,36194609,,,
13351413,113428848,36884857,,,
13352052,113429481,34593501,,,
13534547,113429481,33686413,,,
13352379,113429829,36737557,,,
13352427,113429880,36902458,,69142159,
13352675,113430116,36033228,,,
13352924,113430386,36187610,,,
13354614,113432244,33685845,,,
13354814,113432438,34594553,,,
13356558,113434245,35844789,,,
13357998,113435748,34588136,,,
13358646,113436420,38283626,,,
13358672,113436449,37047282,,,
13358834,113436635,36146763,,,
13361333,113439275,36194609,,,
13361723,113439668,33684721,,,
13361958,113439918,38248199,,,
13362284,113440286,33686413,,,
13362863,113440847,33685845,,70461095,
13524188,113440847,36920314,,70434662,
13363095,113441076,35480538,,,
13363707,113441736,35910362,,,
13364037,113442075,35962146,,68674670,
13364253,113442342,36496785,,,
13364582,113442677,33849002,,,
13366500,113443608,36194609,,,
13366583,113444777,38257376,,70392946,
13366665,113444868,33829841,,,
13367195,113445401,37998474,,,
13367360,113445566,38281800,,,
13420122,113498427,33686473,,52213830,
13420265,113498570,36191564,,64611033,
13420701,113499003,34213475,,68779703,
13429411,113499003,36477494,,62209604,
13420803,113499111,33892469,,,
13421364,113499708,37016143,,,
13422250,113500585,37998474,,,
13422591,113500926,37826004,,70182640,
13422708,113501046,36065735,,62291416,
13423069,113501416,38250744,,,
13424514,113503002,37055109,,69541199,
13425564,113504112,33686413,,,
13453878,113505756,38294166,,,
13428825,113507517,37014955,,,
13429561,113510461,36077481,,,
